j,w,p,q,q0,pr,x1,z1,x2,z2,t
1,0.14910691091249917,1.9616292456804671,0.09324151827089608,0.0013469789383322376,0.1028294966166298,2.451692436593697,0.8219236299063573,1.6917714811501114,3.6779449593146354,1.0
2,0.8352024010313599,2.111159398928177,0.019298043430089964,0.0013469789383322376,0.019677786214303477,0.13282281307271293,3.1407932534273417,0.207486790423071,5.1622296500416756,1.0
7,0.2749232915503297,2.2789211966018605,0.27099950561906166,0.0013469789383322376,0.3717411818686555,0.14491107522902136,3.128704991271033,1.1492578943475706,4.220458546117176,1.0
10,0.4117782256999325,3.6386466526723393,0.61511395374162,0.0013469789383322376,1.5981716139801696,0.5441897416046233,2.729426324895431,2.321200274543994,3.048516165920753,1.0
5,0.6070801723391259,2.145719323090579,0.08859948643562132,0.00033689416257494186,0.09721246172181319,0.9238748217781267,2.4182094638544873,3.6551458426913506,10.04739957502447,2.0
6,0.16151545641710086,1.1626071347695126,3.0512277958100383e-5,0.00033689416257494186,3.052098868585052e-5,0.1763455480903366,3.1657387375422776,0.36291731442043096,13.33962810329539,2.0
7,0.15339065534029417,2.11351318756714,2.3290227985753763e-6,0.00033689416257494186,2.3346192113263842e-6,1.994023898216216,1.3480603874163983,0.28385876329070403,13.418686654425116,2.0
8,0.3548685790944319,11.804701232486156,0.9110307781010472,0.00033689416257494186,10.239842026964828,0.24784001754793472,3.0942442680846796,9.400623497313335,4.301921920402485,2.0
1,0.2023568877526567,1.9759774431322692,0.012195911398168124,0.00683960322410255,0.01234649048021423,0.7625749206968261,2.424870518221042,0.3331239047243825,2.4418577988922268,3.0
2,0.9167966066325433,5.060341730364368,0.6843600928801433,0.00683960322410255,2.1681671948919172,1.3115081602799026,1.8759372786379656,1.3516066897849264,1.423375013831683,3.0
4,0.6345841110036987,2.2952620712174014,0.012396663692888521,0.00683960322410255,0.012552270893615842,0.3710137942230423,2.8164316446948257,0.2654677920212834,2.509513911595326,3.0
